,uid,zoom,desc
718,E09045,edist,Cloonee
719,E09046,edist,Corboy
720,E09047,edist,Drumgort
721,E09048,edist,Drumlish
722,E09049,edist,Killashee
723,E09050,edist,Killoe
724,E09051,edist,Longford Rural
725,E09052,edist,Mountdavis
726,E09053,edist,Moydow
727,E09054,edist,Newtown Forbes
728,E09055,edist,Rathcline
729,E10001,edist,Fair Gate
730,E10002,edist,St. Laurence Gate
731,E10003,edist,West Gate
732,E10004,edist,Dundalk Urban No. 1
733,E10005,edist,Dundalk Urban No. 2
734,E10006,edist,Dundalk Urban No. 3
735,E10007,edist,Dundalk Urban No. 4
736,E10008,edist,Ardee Rural
737,E10009,edist,Ardee Urban
738,E10010,edist,Castlebellingham
739,E10011,edist,Clonkeen
740,E10012,edist,Collon
741,E10013,edist,Dromin
742,E10014,edist,Dromiskin
743,E10015,edist,Drumcar
744,E10016,edist,Dunleer
745,E10017,edist,Stabannan
746,E10018,edist,Tallanstown
747,E10019,edist,Ballymascanlan
748,E10020,edist,Barronstown
749,E10021,edist,Carlingford
750,E10022,edist,Castlering
751,E10023,edist,Castletown
752,E10024,edist,Creggan Upper
753,E10025,edist,Darver
754,E10026,edist,Drummullagh
755,E10027,edist,Dundalk Rural
756,E10028,edist,Faughart
757,E10029,edist,Greenore
758,E10030,edist,Haggardstown
759,E10031,edist,Jenkinstown
760,E10032,edist,Killanny
761,E10033,edist,Louth
762,E10034,edist,Mansfieldstown
763,E10035,edist,Rathcor
764,E10036,edist,Ravensdale
765,E10037,edist,Clogher
766,E10038,edist,Dysart
767,E10039,edist,Monasterboice
768,E10040,edist,Mullary
769,E10041,edist,St. Peter's
770,E10042,edist,Termonfeckin
771,E10047,edist,St. Mary's (Part Urban)
772,E11001,edist,Ceannanus Mór (Kells) Urban
773,E11002,edist,Navan Urban
774,E11003,edist,Trim Urban
775,E11004,edist,Drumcondra
776,E11005,edist,Grangegeeth
777,E11006,edist,Killary
778,E11007,edist,Culmullin
779,E11008,edist,Donaghmore
780,E11009,edist,Dunboyne
781,E11010,edist,Dunshaughlin
782,E11011,edist,Kilbrew
783,E11012,edist,Killeen
784,E11013,edist,Kilmessan
785,E11014,edist,Kilmore
786,E11015,edist,Rathfeigh
787,E11016,edist,Ratoath
788,E11017,edist,Rodanstown
789,E11018,edist,Skreen
790,E11019,edist,Ardagh
791,E11020,edist,Ballinlough
792,E11021,edist,Balrathboyne
793,E11022,edist,Boherboy
794,E11023,edist,Burry
795,E11024,edist,Carrickleck
